send_date,campaign_name,emails_sent,opens,clicks,unsubscribes,cost_usd
2024-07-22T18:00:00Z,New Arrivals #1,62479,17404,753,67.0,248.7
2024-07-23T18:00:00Z,Win-back #2,118099,23787,649,155.0,347.91
2024-07-31T10:00:00Z,Flash Sale #3,91818,30792,959,89.0,188.87
2024-08-06T18:00:00Z,Holiday Promo #4,98654,32917,1427,194.0,231.81
2024-08-07T10:00:00Z,Weekly Newsletter #5,92668,27168,1727,249.0,296.32
2024-08-08T18:00:00Z,Abandoned Cart #6,151435,46763,1331,122.0,570.31
2024-08-10T10:00:00Z,Weekly Newsletter #7,43970,15130,747,44.0,113.03
2024-08-12T08:00:00Z,New Arrivals #8,77303,25297,1966,69.0,236.46
2024-08-13T18:00:00Z,Win-back #9,95713,29175,1704,226.0,308.23
2024-08-15T10:00:00Z,New Arrivals #10,74612,18413,881,107.0,292.82
2024-08-18T08:00:00Z,New Arrivals #11,54967,14907,526,76.0,143.28
2024-08-20T08:00:00Z,Weekly Newsletter #12,104560,24991,1150,279.0,107.01
2024-08-22T08:00:00Z,Flash Sale #13,41989,6324,420,91.0,86.19
2024-08-25T10:00:00Z,New Arrivals #14,85399,22442,537,219.0,202.99
2024-08-28T08:00:00Z,Win-back #15,170385,58946,2677,224.0,470.04
2024-08-29T14:00:00Z,Win-back #16,139904,27049,1185,126.0,374.47
2024-08-31T10:00:00Z,New Arrivals #17,32867,11110,440,60.0,105.94
2024-09-01T10:00:00Z,Holiday Promo #18,37075,10079,416,101.0,76.02
2024-09-06T14:00:00Z,Win-back #19,70938,13832,312,113.0,158.64
2024-09-11T08:00:00Z,Holiday Promo #20,21004,6496,510,,75.94
2024-09-12T08:00:00Z,Win-back #21,48920,7566,599,47.0,155.24
2024-09-13T14:00:00Z,Win-back #22,97711,27136,2095,56.0,189.94
2024-09-14T08:00:00Z,Holiday Promo #23,53284,18015,818,90.0,107.95
2024-09-19T14:00:00Z,Abandoned Cart #24,77148,18775,1031,77.0,277.72
2024-09-20T10:00:00Z,New Arrivals #25,103362,22011,1577,199.0,343.88
2024-09-22T14:00:00Z,Weekly Newsletter #26,159576,40762,3144,383.0,291.61
2024-09-24T08:00:00Z,New Arrivals #27,113262,33340,2151,65.0,209.95
2024-09-29T08:00:00Z,Win-back #28,133297,25621,1210,301.0,460.42
2024-10-04T08:00:00Z,Abandoned Cart #29,59596,10829,807,121.0,65.51
2024-10-05T18:00:00Z,Weekly Newsletter #30,113237,25928,912,253.0,192.75
2024-10-09T08:00:00Z,Holiday Promo #31,142192,49606,2186,332.0,156.02
2024-10-10T08:00:00Z,Flash Sale #32,174279,31085,2402,460.0,235.94
2024-10-11T10:00:00Z,Weekly Newsletter #33,67552,15465,670,127.0,179.35
2024-10-14T18:00:00Z,Win-back #34,101580,26696,1939,289.0,333.53
2024-10-15T18:00:00Z,Win-back #35,179981,47609,2359,236.0,408.28
2024-10-22T08:00:00Z,New Arrivals #36,68298,15636,1079,135.0,186.17
2024-10-28T10:00:00Z,Holiday Promo #37,111578,25788,1601,89.0,218.52
2024-11-03T14:00:00Z,Abandoned Cart #38,70798,19191,1329,153.0,281.8
2024-11-06T08:00:00Z,Abandoned Cart #39,48933,8312,168,51.0,89.66
2024-11-10T14:00:00Z,Weekly Newsletter #40,123679,32003,810,311.0,477.33
2024-11-13T18:00:00Z,Weekly Newsletter #41,141481,24983,1797,296.0,399.2
2024-11-14T10:00:00Z,Flash Sale #42,128156,44499,2498,131.0,134.02
2024-11-15T08:00:00Z,Weekly Newsletter #43,172786,48730,1560,295.0,571.2
2024-11-18T08:00:00Z,Win-back #44,131697,39394,1462,338.0,176.54
