date,campaign_id,campaign_name,impressions,clicks,cost_usd
2024-07-20,101,Brand - Search,34753,1702,309.12
2024-07-21,101,Brand - Search,47136,966,413.55
2024-07-22,101,Brand - Search,62902,3398,431.06
2024-07-23,101,Brand - Search,43304,2414,494.28
2024-07-24,101,Brand - Search,48289,2187,527.43
2024-07-25,101,Brand - Search,27278,890,309.38
2024-07-26,101,Brand - Search,45955,2423,345.2
2024-07-27,101,Brand - Search,40297,985,393.86
2024-07-28,101,Brand - Search,42334,1861,325.92
2024-07-29,101,Brand - Search,36183,1305,318.55
2024-07-30,101,Brand - Search,68385,3014,525.04
2024-07-31,101,Brand - Search,65604,3901,448.0
2024-08-01,101,Brand - Search,37956,1968,392.15
2024-08-02,101,Brand - Search,33835,771,320.64
2024-08-03,101,Brand - Search,32890,1039,387.28
2024-08-04,101,Brand - Search,73116,3780,509.95
2024-08-05,101,Brand - Search,55461,1911,450.46
2024-08-06,101,Brand - Search,38471,1897,348.04
2024-08-07,101,Brand - Search,26099,1326,320.43
2024-08-08,101,Brand - Search,49337,2436,382.22
2024-08-09,101,Brand - Search,59106,2029,547.17
2024-08-10,101,Brand - Search,68659,3165,514.25
2024-08-11,101,Brand - Search,64400,3754,515.39
2024-08-12,101,Brand - Search,51493,2986,391.06
2024-08-13,101,Brand - Search,48042,1663,391.18
2024-08-14,101,Brand - Search,36173,751,424.33
2024-08-15,101,Brand - Search,56071,2518,502.02
2024-08-16,101,Brand - Search,54312,1884,496.88
2024-08-17,101,Brand - Search,47191,2516,348.1
2024-08-18,101,Brand - Search,69983,3213,495.39
2024-08-19,101,Brand - Search,45394,2301,485.45
2024-08-20,101,Brand - Search,43279,1417,391.11
2024-08-21,101,Brand - Search,57019,2453,452.15
2024-08-22,101,Brand - Search,36862,1983,386.97
2024-08-23,101,Brand - Search,42365,1002,382.79
2024-08-24,101,Brand - Search,32893,1110,382.48
2024-08-25,101,Brand - Search,72443,3260,488.9
2024-08-26,101,Brand - Search,47141,2125,374.23
2024-08-27,101,Brand - Search,60934,3439,519.22
2024-08-28,101,Brand - Search,41242,1681,412.33
2024-08-29,101,Brand - Search,71144,2828,544.45
2024-08-30,101,Brand - Search,54390,2061,433.7
2024-08-31,101,Brand - Search,66229,3794,447.55
2024-09-01,101,Brand - Search,46503,1965,523.14
2024-09-02,101,Brand - Search,57464,1870,399.54
2024-09-03,101,Brand - Search,52848,1945,546.61
2024-09-04,101,Brand - Search,67439,3863,554.22
2024-09-05,101,Brand - Search,42653,2069,444.48
2024-09-06,101,Brand - Search,50765,1292,439.97
2024-09-07,101,Brand - Search,49587,2888,341.81
2024-09-08,101,Brand - Search,58381,1274,555.78
2024-09-09,101,Brand - Search,58983,2708,448.4
2024-09-10,101,Brand - Search,30608,1476,317.84
2024-09-11,101,Brand - Search,44338,2640,318.4
2024-09-12,101,Brand - Search,30886,1828,368.62
2024-09-13,101,Brand - Search,56342,2204,503.99
2024-09-14,101,Brand - Search,56926,1259,542.63
2024-09-15,101,Brand - Search,47276,2234,464.05
2024-09-16,101,Brand - Search,57997,1732,551.09
2024-09-17,101,Brand - Search,43931,1016,317.85
2024-09-18,101,Brand - Search,71470,4035,552.19
2024-09-19,101,Brand - Search,48196,1303,516.3
2024-09-20,101,Brand - Search,55665,2873,
2024-09-21,101,Brand - Search,35181,1651,348.56
2024-09-22,101,Brand - Search,48912,2698,368.79
2024-09-23,101,Brand - Search,39106,825,387.54
2024-09-24,101,Brand - Search,35033,1505,414.19
2024-09-25,101,Brand - Search,57893,2555,483.33
2024-09-26,101,Brand - Search,65911,2718,460.32
2024-09-27,101,Brand - Search,55304,1417,528.53
2024-09-28,101,Brand - Search,49043,1431,361.87
2024-09-29,101,Brand - Search,72369,3023,505.38
2024-09-30,101,Brand - Search,42208,1484,341.37
2024-10-01,101,Brand - Search,51729,1519,540.8
2024-10-02,101,Brand - Search,49227,1354,429.75
2024-10-03,101,Brand - Search,50911,1976,401.6
2024-10-04,101,Brand - Search,34860,1277,319.61
2024-10-05,101,Brand - Search,34357,1063,420.7
2024-10-06,101,Brand - Search,78241,4508,551.73
2024-10-07,101,Brand - Search,55390,3184,501.82
2024-10-08,101,Brand - Search,46471,2021,382.4
2024-10-09,101,Brand - Search,40854,1357,418.91
2024-10-10,101,Brand - Search,47103,1594,471.6
2024-10-11,101,Brand - Search,40717,2163,396.33
2024-10-12,101,Brand - Search,36276,1801,446.28
2024-10-13,101,Brand - Search,58506,2327,434.92
2024-10-14,101,Brand - Search,53426,1438,385.05
2024-10-15,101,Brand - Search,42887,2332,376.57
2024-10-16,101,Brand - Search,34645,1430,334.07
2024-10-17,101,Brand - Search,42007,2109,480.83
2024-10-18,101,Brand - Search,52195,1839,449.18
2024-10-19,101,Brand - Search,54947,3283,386.05
2024-10-20,101,Brand - Search,33154,1547,349.71
2024-10-21,101,Brand - Search,69257,2222,503.3
2024-10-22,101,Brand - Search,30504,1069,358.54
2024-10-23,101,Brand - Search,63574,1355,450.63
2024-10-24,101,Brand - Search,41162,1928,327.41
2024-10-25,101,Brand - Search,29180,616,336.4
2024-10-26,101,Brand - Search,47117,1396,473.11
2024-10-27,101,Brand - Search,42220,1750,477.23
2024-10-28,101,Brand - Search,27727,1295,327.74
2024-10-29,101,Brand - Search,57347,2069,510.35
2024-10-30,101,Brand - Search,41541,1293,
2024-10-31,101,Brand - Search,79065,1702,539.97
2024-11-01,101,Brand - Search,65237,2483,487.75
2024-11-02,101,Brand - Search,100555,3812,804.39
2024-11-03,101,Brand - Search,95715,1974,782.52
2024-11-04,101,Brand - Search,96501,4941,680.83
2024-11-05,101,Brand - Search,93813,4940,759.56
2024-11-06,101,Brand - Search,65408,2958,607.96
2024-11-07,101,Brand - Search,84948,2271,828.79
2024-11-08,101,Brand - Search,66436,1590,600.0
2024-11-09,101,Brand - Search,106847,3599,748.47
2024-11-10,101,Brand - Search,96824,4011,885.26
2024-11-11,101,Brand - Search,115921,4662,893.75
2024-11-12,101,Brand - Search,90630,4428,801.11
2024-11-13,101,Brand - Search,49452,2174,579.19
2024-11-14,101,Brand - Search,79116,1954,704.84
2024-11-15,101,Brand - Search,76945,4516,876.16
2024-11-16,101,Brand - Search,61743,3556,619.12
